id,createAt,payload,RIGHT,LEFT,temperature,ON/OFF
message_67c70078-ee65-4a4a-b2c2-cc85bceb79fe,2023-02-10 12:44:17:651,"{""temperature"":{""id"":1,""txt"":""temperature"",""t""::20.8}}",20.8}},20.8,45158,OFF
message_e1682aa2-080a-4845-85fc-9e802d9b446c,2023-02-10 12:45:17:653,"{""temperature"":{""id"":1,""txt"":""temperature"",""t""::20.7}}",20.7}},20.7,45127,OFF
message_bec71645-8c3d-4ddb-ae21-da47ffadcc30,2023-02-10 12:46:17:653,"{""temperature"":{""id"":1,""txt"":""temperature"",""t""::20.7}}",20.7}},20.7,45127,OFF
message_b02cfecd-b526-4a64-ab2e-ac311614c4fa,2023-02-10 12:47:17:649,"{""temperature"":{""id"":1,""txt"":""temperature"",""t""::20.7}}",20.7}},20.7,45127,OFF
message_74b4e2af-0248-4c20-b5e7-6d9a0af5aa00,2023-02-10 12:48:17:648,"{""temperature"":{""id"":1,""txt"":""temperature"",""t""::20.6}}",20.6}},20.6,45097,OFF
message_3ec2da49-19f0-4335-a9f7-9b3b600c8e35,2023-02-10 12:49:17:653,"{""temperature"":{""id"":1,""txt"":""temperature"",""t""::20.6}}",20.6}},20.6,45097,OFF
message_cd1ce120-e040-403f-8812-3b4ac6384ea3,2023-02-10 12:50:17:650,"{""temperature"":{""id"":1,""txt"":""temperature"",""t""::20.6}}",20.6}},20.6,45097,OFF
message_aaca775e-62ae-4b4c-b968-83528796ed18,2023-02-10 12:51:17:652,"{""temperature"":{""id"":1,""txt"":""temperature"",""t""::20.6}}",20.6}},20.6,45097,OFF
message_cf1a3fa9-25fa-4aed-8fa9-aee3ee3c4ede,2023-02-10 12:52:17:635,"{""temperature"":{""id"":1,""txt"":""temperature"",""t""::20.6}}",20.6}},20.6,45097,OFF
message_3ca9d173-6db7-48f0-8266-69e9117d1db9,2023-02-10 12:53:17:632,"{""temperature"":{""id"":1,""txt"":""temperature"",""t""::20.5}}",20.5}},20.5,45066,OFF
message_4656bbee-76d2-44a7-a4e6-ac9ee6e973c3,2023-02-10 12:54:17:640,"{""temperature"":{""id"":1,""txt"":""temperature"",""t""::20.6}}",20.6}},20.6,45097,OFF
message_c7eb10f5-8b93-4950-baaf-02aff917fc1f,2023-02-10 12:55:17:636,"{""temperature"":{""id"":1,""txt"":""temperature"",""t""::20.5}}",20.5}},20.5,45066,OFF
message_42d03acc-381c-49ef-8c8f-6c5b04d47fa3,2023-02-10 12:56:17:630,"{""temperature"":{""id"":1,""txt"":""temperature"",""t""::20.5}}",20.5}},20.5,45066,OFF
message_418def80-2dc9-4aa7-88b0-abd262e229f2,2023-02-10 12:57:17:629,"{""temperature"":{""id"":1,""txt"":""temperature"",""t""::20.5}}",20.5}},20.5,45066,OFF
message_6f7a968d-c51c-4305-8475-1bc82246e381,2023-02-10 12:58:17:634,"{""temperature"":{""id"":1,""txt"":""temperature"",""t""::20.5}}",20.5}},20.5,45066,OFF
message_3bc755a3-cbda-4c08-a1bc-1568675146dd,2023-02-10 12:59:17:630,"{""temperature"":{""id"":1,""txt"":""temperature"",""t""::20.5}}",20.5}},20.5,45066,OFF
message_94c24994-a163-4516-89e7-9b975ac0a54d,2023-02-10 13:00:17:626,"{""temperature"":{""id"":1,""txt"":""temperature"",""t""::20.5}}",20.5}},20.5,45066,OFF
message_6e095acf-7058-439c-8140-1e0ae7d6ee48,2023-02-10 13:01:17:630,"{""temperature"":{""id"":1,""txt"":""temperature"",""t""::20.5}}",20.5}},20.5,45066,OFF
message_615fd282-4fac-48c3-a674-0d995399e992,2023-02-10 13:02:17:738,"{""temperature"":{""id"":1,""txt"":""temperature"",""t""::20.5}}",20.5}},20.5,45066,OFF
message_5fc16428-8c2e-4762-92a5-f706b65e6cbf,2023-02-10 13:03:17:628,"{""temperature"":{""id"":1,""txt"":""temperature"",""t""::20.6}}",20.6}},20.6,45097,OFF
message_5b9b94f1-75a6-4a8d-9bed-381e82ef8f64,2023-02-10 13:04:17:633,"{""temperature"":{""id"":1,""txt"":""temperature"",""t""::20.7}}",20.7}},20.7,45127,OFF
